job_order	dataset_id	ntax	nchar	focal_descendants	alignment_bytes	mode	replicate	wall_seconds	user_seconds	system_seconds	peak_rss_kb	peak_rss_mib	cpu_percent	exit_status	reported_sites	results_bytes	report_sha256
1	t500_s10000	500	10000	125	5147047	fixed-exclusive	3	6.72	6.93	0.19	163788	159.949	106%	0	2000	211644	8a590bd43eab308123da435b2ac17b255a24cbc198ebb1032957c70e87dc8396
2	t250_s50000	250	50000	62	13243047	both	1	16.11	16.02	0.38	243172	237.473	101%	0	22500	2192828	7ad7548d414bc2e992257a4fa5305dde1c0d4001305e96a9cb72bc50bf95a223
3	t100_s10000	100	10000	25	1140647	both	1	1.84	2.16	0.05	122592	119.719	120%	0	4500	417828	273b7a435dd080bd746cfd8918a72c1e7be87e01625aab7f7624bc9eeef2ee0d
4	t50_s10000	50	10000	12	639846	both	2	1.34	1.59	0.12	119140	116.348	128%	0	4500	417828	43b4579bc22f2a1b5330351dc67ee99a49c5c1ece36ed5cdb55fff955f7dd2c7
5	t250_s25000	250	25000	62	6618047	both	1	8.22	8.34	0.19	176860	172.715	103%	0	11250	1089078	a003a1054df286015a0ed7430e0de6626cd6998435674a7562dba38d35162df3
6	t500_s10000	500	10000	125	5147047	fixed-exclusive	1	6.52	6.78	0.15	163808	159.969	106%	0	2000	211644	8a590bd43eab308123da435b2ac17b255a24cbc198ebb1032957c70e87dc8396
7	t250_s25000	250	25000	62	6618047	both	3	8.41	8.49	0.25	175528	171.414	103%	0	11250	1089078	a003a1054df286015a0ed7430e0de6626cd6998435674a7562dba38d35162df3
8	t250_s10000	250	10000	62	2643047	both	2	3.82	4.12	0.08	137500	134.277	110%	0	4500	426828	5c920ae5103fef160eac641c12b1e1bb0df12d4752dfea916488db23a8324d07
9	t250_s1000	250	1000	62	267045	both	3	0.89	1.22	0.05	114460	111.777	142%	0	450	41625	a03c7355c067b4ce9e46a41ec1bb7c18337be18c503189a0e92eeb2db8c1e464
10	t500_s10000	500	10000	125	5147047	both	1	6.48	6.73	0.08	160600	156.836	105%	0	4500	439328	e333b0bef62e409581c397d52158bf6bcf1150c7ff27801c014bff21f2230f66
11	t2000_s10000	2000	10000	500	20171048	both	1	29.67	29.55	0.5	321640	314.102	101%	0	4500	448328	6957c1b9a5fdbffd481e4d578e0303357f172c5b3736df5bc75cff6e5b978c20
12	t100_s10000	100	10000	25	1140647	both	2	1.82	2.16	0.07	122644	119.77	122%	0	4500	417828	273b7a435dd080bd746cfd8918a72c1e7be87e01625aab7f7624bc9eeef2ee0d
13	t250_s50000	250	50000	62	13243047	both	3	16.24	16.21	0.4	243284	237.582	102%	0	22500	2192828	7ad7548d414bc2e992257a4fa5305dde1c0d4001305e96a9cb72bc50bf95a223
14	t500_s10000	500	10000	125	5147047	both	2	6.47	6.77	0.09	162876	159.059	106%	0	4500	439328	e333b0bef62e409581c397d52158bf6bcf1150c7ff27801c014bff21f2230f66
15	t50_s10000	50	10000	12	639846	both	3	1.25	1.53	0.06	119388	116.59	127%	0	4500	417828	43b4579bc22f2a1b5330351dc67ee99a49c5c1ece36ed5cdb55fff955f7dd2c7
16	t500_s10000	500	10000	125	5147047	parsimony	3	6.65	6.95	0.11	163612	159.777	106%	0	4500	449328	144eb1c7707a7fc934e4ce47ac1aff2727c1465ea57c6616962e6bf953970d9a
17	t250_s10000	250	10000	62	2643047	both	3	3.71	4.03	0.08	137332	134.113	110%	0	4500	426828	5c920ae5103fef160eac641c12b1e1bb0df12d4752dfea916488db23a8324d07
18	t2000_s10000	2000	10000	500	20171048	both	3	29.77	29.65	0.51	321344	313.812	101%	0	4500	448328	6957c1b9a5fdbffd481e4d578e0303357f172c5b3736df5bc75cff6e5b978c20
19	t250_s1000	250	1000	62	267045	both	2	0.82	1.15	0.06	114584	111.898	147%	0	450	41625	a03c7355c067b4ce9e46a41ec1bb7c18337be18c503189a0e92eeb2db8c1e464
20	t1000_s10000	1000	10000	250	10155048	both	3	14.88	15.12	0.17	209568	204.656	102%	0	4500	439328	0a1f545d214bfea3ccdde50b0ce14ce8d24a79b1c26e9a05eb1e5a26441cb566
21	t100_s10000	100	10000	25	1140647	both	3	1.86	2.19	0.07	122364	119.496	121%	0	4500	417828	273b7a435dd080bd746cfd8918a72c1e7be87e01625aab7f7624bc9eeef2ee0d
22	t250_s25000	250	25000	62	6618047	both	2	8.31	8.54	0.17	176696	172.555	104%	0	11250	1089078	a003a1054df286015a0ed7430e0de6626cd6998435674a7562dba38d35162df3
23	t500_s10000	500	10000	125	5147047	fixed-exclusive	2	6.46	6.74	0.12	160552	156.789	106%	0	2000	211644	8a590bd43eab308123da435b2ac17b255a24cbc198ebb1032957c70e87dc8396
24	t250_s5000	250	5000	62	1323045	both	3	2.05	2.41	0.05	124044	121.137	119%	0	2250	212825	738dfbb1fb2fc63a3295c3c73952ca10484189223c6d65e437b60909dc512b8f
