file	expected_sha256	observed_sha256	match
ak3_alignment.nex	40c49b026c52e04530ecbbee7044567ac3355eccf7adda42a7d96bf977df9014	40c49b026c52e04530ecbbee7044567ac3355eccf7adda42a7d96bf977df9014	1
ak3_tree.nwk	18322b2808baf621d09dd5292027205e68a0f207d7be44f043bd044d0d314bd0	18322b2808baf621d09dd5292027205e68a0f207d7be44f043bd044d0d314bd0	1
st97_alignment.nex	3e7a631c2780e1aeb7f6d3b600f2d7a08742b2351eb22edbd10a3ca0b3ca591c	3e7a631c2780e1aeb7f6d3b600f2d7a08742b2351eb22edbd10a3ca0b3ca591c	1
st97_tree.nwk	7f71657597b9dd62db8c93570c0afd251e5677c3657b1654e71b58a2a15949ad	7f71657597b9dd62db8c93570c0afd251e5677c3657b1654e71b58a2a15949ad	1
oxa48_alignment.nex	60940e7fca31849396ed070f79299055a762f4b5192dd18918fb84f300deda9b	60940e7fca31849396ed070f79299055a762f4b5192dd18918fb84f300deda9b	1
oxa48_tree.nwk	fb1895907fbbff4cb2e74d7ad564c12e9b80d07f5800b6007618dcb3b82f2540	fb1895907fbbff4cb2e74d7ad564c12e9b80d07f5800b6007618dcb3b82f2540	1
clade_a_alignment.nex	fd7dc8c8404766a6ab0354cb245c8e0befc016a0c480c79bb3395a40f49e7f30	fd7dc8c8404766a6ab0354cb245c8e0befc016a0c480c79bb3395a40f49e7f30	1
clade_a_tree.nwk	807b23612aa5dfad37080c66386579e3c3dcc04855639f95909b87f134065d55	807b23612aa5dfad37080c66386579e3c3dcc04855639f95909b87f134065d55	1
clade_b_alignment.nex	6fff544b576725253c2c5b0720e7491592ca1c26c10bc78a9ce6a4481ab3c7b7	6fff544b576725253c2c5b0720e7491592ca1c26c10bc78a9ce6a4481ab3c7b7	1
clade_b_tree.nwk	b5c1ba809e787e5eebf8d27aae99e8cb49c0f0edac1a0bc5a85d331644dff67b	b5c1ba809e787e5eebf8d27aae99e8cb49c0f0edac1a0bc5a85d331644dff67b	1
