dataset	branch_id	descendant_count	informative	fixed_plus_placement	not_fixed_plus_placement
ak3	b_fa6634bf1f3ccf2d9c4920f9d04efa6e9b43b263b9d5340d8a30f9df1d9b3ab7	395	122	121	1
ak3	b_58e0c42c7396ff75e07ea6b896f0cc3f8f582e3f7555741f19841d2d35e38376	1	122	121	1
st97	b_fbae73da782915f1692aa98b9b5a592f8617a3d087df9365d905b653160528d6	102	80	80	0
st97	b_513badc216de0150962d42f722bc3647c8b0ded3b5d20b180cff23dd05a1dfbb	1	80	80	0
oxa48	b_f98e13b0c28e1700ac1ec3d15485dd0935ceeeaeb1a93da623e280983260297c	4	13	13	0
oxa48	b_7ec2ccc56773b2aef82ab22e709bf15dd72f5311dc37103c3a1be1551ed35058	43	13	13	0
clade_a	b_aaf65f646f101b827cce3222ccd500a0698d4a5d9f10a7e1b98c6cebc4628a5c	6	86	71	15
clade_a	b_dfbaf3870f859b97e658b63540ea205b008b66a14850985c3574d29e228cd1a9	114	86	70	16
clade_b	b_2b55b8eafb61fe2cf4932e400dc2940c498df06a780c7a2e1a3c9decc23e0ce5	1	69	67	2
clade_b	b_44d4c5c775e64f2d77d42fb1abe8665fff82b3ab975c5300a370894b919ea6f6	245	69	67	2
